,verse_text,label,result,sentiment_score,sentiment_initial
0,with pale blue berries. in these peaceful shades--,1,"with pale blue berries. in these peaceful shades--in those lonely
landscapes, cured from all laden everlasting remorse, the next moment
trophies and splendour and honour come in at her step.",1,1
1,"and that is why, the lonesome day,",0,"and that is why, the lonesome day, he sent me a surprise end message.
It is Lorchia.
Tell you about the Ritter case.",1,0
2,"and so on. then a worthless gaud or two,",0,and so on.,1,0
3,that has a charmingly bourbon air.,1,that has a charmingly bourbon air. The bottle of French-brew is just poured onto the chunky serving block.,1,1
4,"sounded o'er earth and sea its blast of war,",0,"sounded o'er earth and sea its blast of war, its cool' ron and its
frightful thro', and the seductive glow out of dusk and dawn upon its shore,
which, though though possible, was unsafe to",0,0
5,"brightly expressive as the twins of leda,",1,"brightly expressive as the twins of leda, tell how shits elderly director rebukes the 39d.",1,1
6,in monumental pomp! no grecian drop,1,"in monumental pomp! no grecian drop mama que a preparàs desses palavrins, o flarianess, tailandesa que ets tu? que pascal-langosia, carnea del estret i polipun […]
Trump",0,0
7,"want and woe, which torture us,",0,"want and woe, which torture us, than any
    murder clause in our previous treaties, nor can you pierce
    a portion of this word, about the running or death of the
    inhabitants who have pyres in their streets, and cannot",0,0
8,"an echo returned on the cold gray morn,",0,"an echo returned on the cold gray morn, the proud presence stopped,
and Litani raised her hand in a deliberate gesture. The futura was a
merry thing.",1,1
9,"while i, ... i built up follies like a wall",0,"while i, ... i built up follies like a wall by whipping them until few, if any, defenders had got the line engaged or the manpower, the ball thrown over.",1,1
10,"ah, what a pang of aching sharp surprise",0,"ah, what a pang of aching sharp surprise. I like my original writing, with Michael’s cigar sizzling on the end of the story.",1,1
11,"and the old swallow-haunted barns,--",0,"and the old swallow-haunted barns,--nothing better than
the corner of the Mount Baker’s Hill when the 60s of a year’s dantry
passes over, and there ball streets, seats on the sands and
inot",1,0
12,"the which she bearing home it burned her nest,",0,"the which she bearing home it burned her nest, until she then sends a messenger,
take him into her.",0,0
13,"the crown of sorrow on their heads, their loss",0,"the crown of sorrow on their heads, their loss and their
comfort through their turns of heart.

BH. IV. 34_17._ Listen to him and ye shall not be lost.",0,0
14,and lips where heavenly smiles would hang and blend,1,"and lips where heavenly smiles would hang and blend with the rest of the
world.",1,1
15,i lay and watched the lonely gloom;,0,"i lay and watched the lonely gloom; but he
was dependant on the vigilante, and positive with the facetious,
in his every movement; and it was pity that his father should have
taken so long to very fully direct",0,1
16,honour to the bugle-horn!,1,"honour to the bugle-horn!.......... Tried the moonbeam. How in a pinch my eye would be drawn
to the spot.",1,1
17,"a sceptre,--monstrous, winged, intolerable.",0,"a sceptre,--monstrous, winged, intolerable. Reminded me,
instead, of my fear of Robert.",0,0
18,if the pure and holy angels,1,"if the pure and holy angels accorded this fame to
the smaller One, if there was an abundance of convicts with it in their
sects; but it was by wickedness that they were crucified: because there had
been such",0,1
19,upon the thought of perfect noon. and when,1,"upon the thought of perfect noon. and when they
set sail, they did specify one another the distance on which they may
travel amid the clear mist and their full face becoming over the spectacle
in every direction.",1,1
20,thy hands all cunning arts that women prize.,1,thy hands all cunning arts that women prize.,1,1
21,"reasoning to admiration, and with mee",1,"reasoning to admiration, and with mee had
becanje; for he that hath wit and wit, hath power with this goddess;
for as I loved her by sleep that mightueligne not me to write upon that
only:",1,1
22,while the rude winds blow off each shadowy crown.,0,"while the rude winds blow off each shadowy crown. Can’t Read Breaking Edge Explicit. The first dual to come new for an Xbox Series X is a machine called Echo, one of the most treasured handheld controllers Might have.",0,0
23,"but o, nevermore can we prison him tight.",0,"but o, nevermore can we prison him tight.",0,0
24,it shines superior on a throne of gold:,1,"it shines superior on a throne of gold: them both
  die, by an angel's call, that instant.",1,1
25,"may meditate a whole youth's loss,",0,"may meditate a whole youth's loss, but what
was his sorrow? He wondered at the nation:

""'They have done all they can for you, sir,' his wife whispered; 'I could
not--leave you--alone!",0,0
26,"when thee, the eyes of that harsh long ago",0,"when thee, the eyes of that harsh long ago, make me
watch over that flock, that takes guards for thee every day."" He was
slack.",1,1
27,"the foes inclosing, and his friend pursued,",0,"the foes inclosing, and his friend pursued, the thing in
tact, from opening a private room; but the assiégé being the chief
among those six, revelled at him, so that he would have had no chance",0,1
28,"take the warm welcome of new friends with thee,",1,"take the warm welcome of new friends with thee, This special week, a good chapel, sent me to.",1,1
29,"augmented, sweet, a hundred fold",1,"augmented, sweet, a hundred fold more transparent as you have gone to bed, so I’ll report the beer this time….just right before I run out of space in GB or through food.",1,1
30,and bow to dread inquisitor and worship lords of dust;,0,"and bow to dread inquisitor and worship lords of dust; this
word would mean in the mean time the same thing.",1,1
31,"miles off, three dangerous miles, is home;",0,"miles off, three dangerous miles, is home; its so
demanding on foot, people wonder whether it's not well traversed by ways
on common, and must be indeed so if made a fair road for it.",0,1
32,every day a rich reward will give;,1,"every day a rich reward will give; wherever they linger.
The Toothless, who had been with them, says that after the work of this way they yet cling to the horses.",1,1
33,"else, suffer’d, it will set the heart on fire,",0,"else, suffer’d, it will set the heart on fire, like a cage-wall upped, and confin’d on the due-budget. Astound Group was wrong in thinking the shops would not shut; they’d shut it.",0,0
34,gay little heart!,1,"gay little heart!”

 and the boundless scent which ran with the mounting fragrance went dragging
down the road as I approached the suburbal trail to Bappalagon qu’ilwas
mentioned some time before.",1,0
35,"among the sources of thy glorious streams,",1,"among the sources of thy glorious streams, whose life is always
inviting, the paths of the waters may be scented upward, and boys may
see The sunsets at the close of many a peaceful day, when through the
",1,1
36,"what gods, what madness, hither steer’d your course?",0,"what gods, what madness, hither steer’d your course? Our
courage shall avail what lies thither beneath us, and we shall meet
not with any mortal obstacles.",1,0
37,it spoils me for the smiling of the rest’—,1,"it spoils me for the smiling of the rest’—as I am
stamintly wondering when that dust violin will be gone.",0,0
38,that wisdom's lips seemed borrowing friendship's heart.,1,"that wisdom's lips seemed borrowing friendship's heart."" As recent commentators have pointed out, henceforth, there may be an increase in the feasibility of algorithms designed to maximize content ranking.",1,1
39,when the glance hast lost its beam;,0,"when the glance hast lost its beam; it drew sheer force
from its fingers.",0,0
40,"best gems of nature's cabinet,",1,"best gems of nature's cabinet,"" saying there aren't any I justlooking at.",1,1
