,verse_text,label,result,sentiment_score
0,with pale blue berries. in these peaceful shades--,1,"with pale blue berries. in these peaceful shades--
and the flowers were so pretty, that I could not help thinking of
the flowers in the garden.""

""They are beautiful,"" said the girl, with a smile.",1
1,"and that is why, the lonesome day,",0,"and that is why, the lonesome day, I was in the kitchen, and I saw a man in a white suit, with a hat on, standing in front of the fireplace.",1
2,"and so on. then a worthless gaud or two,",0,"and so on. then a worthless gaud or two, and then the
following day, when the sun was still shining, the whole of the town
was covered with a brilliant red glow.",1
3,that has a charmingly bourbon air.,1,"that has a charmingly bourbon air. The wine is a little bit more complex than the wine in the bottle, but the taste is still very good.",1
4,"sounded o'er earth and sea its blast of war,",0,,0
5,"brightly expressive as the twins of leda,",1,"brightly expressive as the twins of leda, the
wonderful, beautiful, and beautifully beautiful lena. The twins were
all very pretty, but the lenas were the most beautiful.",1
6,in monumental pomp! no grecian drop,1,in monumental pomp! no grecian drop! and the other two are pretty much the same. I just don't like the way they look.,0
7,"want and woe, which torture us,",0,"want and woe, which torture us, and
which we cannot escape.""

""It is not so,"" said the young man, with a smile.",0
8,"an echo returned on the cold gray morn,",0,"an echo returned on the cold gray morn, and the
warm breeze of the morning was still blowing in the air.",1
9,"while i, ... i built up follies like a wall",0,"while i, ... i built up follies like a wall. I was a little bit of a jerk, but I had to do it. And I did it, and I got a lot of people to love me.",1
10,"ah, what a pang of aching sharp surprise",0,"ah, what a pang of aching sharp surprise. I was so happy to see that the new book was coming out. It was a great surprise to me. The book is a little different from the other books in the series.",1
11,"and the old swallow-haunted barns,--",0,,0
12,"the which she bearing home it burned her nest,",0,"the which she bearing home it burned her nest, and the
womb of her child, which was the only thing in the world that
could save her from the fire.",0
13,"the crown of sorrow on their heads, their loss",0,"the crown of sorrow on their heads, their loss of
life, and the loss that they had so much to lose.",0
14,and lips where heavenly smiles would hang and blend,1,"and lips where heavenly smiles would hang and blend with the
glittering of the sun. The sun was shining, and the stars were shining
in the sky.",1
15,i lay and watched the lonely gloom;,0,,0
16,honour to the bugle-horn!,1,"honour to the bugle-horn!""

""It is a very good thing,"" said the old man, with a smile. ""I
think it is the only thing that I can do to make the people of
London happy.",1
17,"a sceptre,--monstrous, winged, intolerable.",0,"a sceptre,--monstrous, winged, intolerable.""

""It is a very good thing,"" said the young man, with a smile, ""that
you have not been so cruel to me.",1
18,if the pure and holy angels,1,"if the pure and holy angels are not the only ones who are in the world, but the Holy Spirit, the Lord Jesus Christ, who is the one who has the power to make all things possible.",1
19,upon the thought of perfect noon. and when,1,"upon the thought of perfect noon. and when the
sun was gone, the moon was still. The sun was not yet gone; the sun
was still; and the stars were still, and still they were.",1
20,thy hands all cunning arts that women prize.,1,"thy hands all cunning arts that women prize.”
“You’re a very good girl,” said the man, “but you don’t know how to play the piano. You’re not a good singer. But you can play it.",0
21,"reasoning to admiration, and with mee",1,"reasoning to admiration, and with mee
to be the best of all the men in the world.""

""So you are,"" said the young man, with a smile.",1
22,while the rude winds blow off each shadowy crown.,0,"while the rude winds blow off each shadowy crown. The
winds are still blowing, and the sun is still shining.",1
23,"but o, nevermore can we prison him tight.",0,"but o, nevermore can we prison him tight.”

“He is not a prisoner,” said the captain, “but a fugitive. He is
not a man of the world, but a slave.",0
24,it shines superior on a throne of gold:,1,"it shines superior on a throne of gold:
The sun shone above the earth, and the moon above its feet. The earth
shone, the sun, but the stars were not.",1
25,"may meditate a whole youth's loss,",0,"may meditate a whole youth's loss, and the
sight of the dead, the sight of his own soul, his soul's own
disappointment, is a great consolation to him.",0
